row_id,group,table,naming,slots,control,hw_lower,hw_upper,hw_exact,residue_relations,residue_roles
wd-declared-wd-roles-r1-cq,wikidata,declared,wd-roles-r1,"core,qualifier",False,4,38,False,391,615
wd-declared-wd-roles-r1-cqt,wikidata,declared,wd-roles-r1,"core,qualifier,time",False,4,43,False,392,617
wd-declared-relation-local-cq,wikidata,declared,relation-local,"core,qualifier",True,1,1,True,0,0
wd-declared-relation-local-cqt,wikidata,declared,relation-local,"core,qualifier,time",True,1,1,True,0,0
wd-observed-robust-wd-roles-r1-cq,wikidata,observed-robust,wd-roles-r1,"core,qualifier",False,4,65,False,751,545
wd-observed-robust-wd-roles-r1-cqt,wikidata,observed-robust,wd-roles-r1,"core,qualifier,time",False,4,60,False,767,554
wd-observed-robust-relation-local-cq,wikidata,observed-robust,relation-local,"core,qualifier",True,1,1,True,0,0
wd-observed-robust-relation-local-cqt,wikidata,observed-robust,relation-local,"core,qualifier,time",True,1,1,True,0,0
wd-observed-all-wd-roles-r1-cq,wikidata,observed-all,wd-roles-r1,"core,qualifier",False,3,53,False,1453,2025
wd-observed-all-wd-roles-r1-cqt,wikidata,observed-all,wd-roles-r1,"core,qualifier,time",False,3,52,False,1458,2028
wd-observed-all-relation-local-cq,wikidata,observed-all,relation-local,"core,qualifier",True,1,1,True,0,0
wd-observed-all-relation-local-cqt,wikidata,observed-all,relation-local,"core,qualifier,time",True,1,1,True,0,0
wd-observed-robust-slice-wd-roles-r1-cq,wikidata,observed-robust-slice,wd-roles-r1,"core,qualifier",False,4,48,False,603,471
wd-observed-robust-slice-wd-roles-r1-cqt,wikidata,observed-robust-slice,wd-roles-r1,"core,qualifier,time",False,4,59,False,613,477
wd-observed-robust-slice-relation-local-cq,wikidata,observed-robust-slice,relation-local,"core,qualifier",True,1,1,True,0,0
wd-observed-robust-slice-relation-local-cqt,wikidata,observed-robust-slice,relation-local,"core,qualifier,time",True,1,1,True,0,0
wd-observed-all-slice-wd-roles-r1-cq,wikidata,observed-all-slice,wd-roles-r1,"core,qualifier",False,4,51,False,1292,1574
wd-observed-all-slice-wd-roles-r1-cqt,wikidata,observed-all-slice,wd-roles-r1,"core,qualifier,time",False,4,47,False,1297,1576
wd-observed-all-slice-relation-local-cq,wikidata,observed-all-slice,relation-local,"core,qualifier",True,1,1,True,0,0
wd-observed-all-slice-relation-local-cqt,wikidata,observed-all-slice,relation-local,"core,qualifier,time",True,1,1,True,0,0
biolink-formal-global-cq,biolink,formal,global,"core,qualifier",False,2,2,True,5,18
biolink-formal-domain-global-cq,biolink,formal-domain,global,"core,qualifier",False,2,2,True,5,19
biolink-formal-relation-local-cq,biolink,formal,relation-local,"core,qualifier",True,1,1,True,0,0
hyperbench-cq-hw1,hyperbench,CQ,,,False,1,1,True,673,
hyperbench-cq-hw2,hyperbench,CQ,,,False,2,2,True,432,
hyperbench-cq-hw3,hyperbench,CQ,,,False,3,3,True,8,
